addr_kelurahan,nearest_node,dist_to_node_m,element,id,nama_kelurahan_osm,nama_kelurahan,nama_kecamatan,jumlah_penduduk,lon,lat
<NA>,9189145297,104.00018292774288,,,,Taman Sari,Bandung Wetan,22984,107.60533121769575,-6.902485475173221
<NA>,9189145297,101.09501012364404,,,,Taman Sari,Bandung Wetan,22984,107.60531607466244,-6.902570199422085
<NA>,9189145297,102.00368778383304,,,,Taman Sari,Bandung Wetan,22984,107.60532609335924,-6.902708494492262
<NA>,2007385376,76.17827585696331,,,,Sukarasa,Sukasari,13710,107.58256369150199,-6.878008776222669
<NA>,5458423406,21.72915423695333,,,,Sukarasa,Sukasari,13710,107.58125155285872,-6.8785388082477565
<NA>,5458423406,41.46873546139743,,,,Sukarasa,Sukasari,13710,107.58143490444218,-6.87847470938687
<NA>,5458423406,52.304427160291,,,,Sukarasa,Sukasari,13710,107.58149670885778,-6.8783944075254535
<NA>,2007385376,39.99373228271317,,,,Sukarasa,Sukasari,13710,107.5816762125111,-6.878412494377963
<NA>,2007385376,29.271530586822404,,,,Sukarasa,Sukasari,13710,107.58166892627145,-6.8782713518957355
<NA>,2007396565,32.915124851892614,,,,Sukarasa,Sukasari,13710,107.5816512640805,-6.877499468594466
<NA>,2007396565,32.55195141705498,,,,Sukarasa,Sukasari,13710,107.58163476179301,-6.877689914621038
<NA>,2007396565,12.080052688133938,,,,Sukarasa,Sukasari,13710,107.58181353737646,-6.877639829880509
<NA>,2007396565,21.838595983709745,,,,Sukarasa,Sukasari,13710,107.58175637120526,-6.877515823545989
<NA>,2007396570,23.80847372660557,,,,Sukarasa,Sukasari,13710,107.58328469075863,-6.877466830167282
<NA>,2007396570,32.687731865749896,,,,Sukarasa,Sukasari,13710,107.58314207912443,-6.877502653522688
<NA>,2007396570,46.907366975328294,,,,Sukarasa,Sukasari,13710,107.5830053697519,-6.87749051604432
<NA>,2007396570,67.33932136951404,,,,Sukarasa,Sukasari,13710,107.58281159061374,-6.877487682882251
<NA>,2007396565,78.65217028175017,,,,Sukarasa,Sukasari,13710,107.58262425148857,-6.8775140364065575
<NA>,2007396565,60.662432652537206,,,,Sukarasa,Sukasari,13710,107.58245134963343,-6.877481682652498
<NA>,2007396565,44.80352551586339,,,,Sukarasa,Sukasari,13710,107.58229338826023,-6.877463054571675
<NA>,2007396565,28.336438706220047,,,,Sukarasa,Sukasari,13710,107.58213373319886,-6.877480278292232
<NA>,2007396565,27.545622452429495,,,,Sukarasa,Sukasari,13710,107.5821129387483,-6.877783267881406
<NA>,2007385373,39.1139458963773,,,,Sukarasa,Sukasari,13710,107.58285145000096,-6.878350600000589
<NA>,2007385373,37.880900843348186,,,,Sukarasa,Sukasari,13710,107.58269194999968,-6.878340599998445
<NA>,2007385373,33.507876782934304,,,,Sukarasa,Sukasari,13710,107.58301126030521,-6.878578303768718
<NA>,1654067465,44.62024724930262,,,,Sukarasa,Sukasari,13710,107.58301435000139,-6.878351200001208
<NA>,2007385367,30.17440065980313,,,,Sukarasa,Sukasari,13710,107.58314701415689,-6.878562739189554
<NA>,1654067465,25.40227166665003,,,,Sukarasa,Sukasari,13710,107.58321965228195,-6.8783520172456765
<NA>,1654067465,23.09478443620927,,,,Sukarasa,Sukasari,13710,107.58325225866271,-6.878032678510117
<NA>,1654067465,39.252340359954864,,,,Sukarasa,Sukasari,13710,107.5830793669859,-6.878013968458188
<NA>,1654067465,48.44653077960389,,,,Sukarasa,Sukasari,13710,107.5829856552521,-6.878014664232178
<NA>,2007396570,23.47194755926715,,,,Sukarasa,Sukasari,13710,107.58327441331586,-6.87782141247282
<NA>,2007396570,37.273082519655254,,,,Sukarasa,Sukasari,13710,107.58309691123209,-6.877799565075524
<NA>,2007396570,49.460801511729855,,,,Sukarasa,Sukasari,13710,107.58297479644017,-6.877792194204764
<NA>,2007396570,64.41972710074869,,,,Sukarasa,Sukasari,13710,107.58284123171364,-6.877818566255501
<NA>,2007396570,77.72104570435891,,,,Sukarasa,Sukasari,13710,107.58271548745698,-6.87781439344177
<NA>,2007396565,78.0000884614431,,,,Sukarasa,Sukasari,13710,107.58260182671289,-6.877810183808274
<NA>,2007396565,63.195729464436,,,,Sukarasa,Sukasari,13710,107.58247009926565,-6.877784079941961
<NA>,2007396565,47.166997768596985,,,,Sukarasa,Sukasari,13710,107.58230717085074,-6.877806100817402
